tweet_ID,Name,Text,Date,Media
33,romulus_bot,#awardOfOrder #nse #bse #trading #stocks #stockmarket #PressRelease #HCLTECH - Press Release HCL Technologies Limit… https://t.co/xaqBka2ity,2021-06-14 05:50:21,0
34,busyrabbit_,"Booked profit in #techm partial profit in #hcltech and added #Reliance #RIL 
#nowholding #hcltech  #igl #banknifty… https://t.co/dUNXNjgglC",2021-06-14 05:49:13,0
35,TarunaGarg18,"#HCLTECH

Buy @ 980
Tgt 1000
Stop loss below 775

#interdaytradingview
@TarunaGarg18",2021-06-14 05:06:06,0
36,uncommonprofit,"#CNXIT ATH closing on 11-JUN-21, catchup pending

#HCLTECH –  WEEKLY    :  12-JUN-21
ENTRY at RETEST   960/955  
IS… https://t.co/JpRSLWE2CL",2021-06-13 15:54:54,0
37,bull_buy,"Open Long Positions (Entry Date &amp; Price)

#HCLTech 30/4 @ 905
#Nestle 2/5 @ 16500
#LTI 25/5 @ 3700
#INDHOTEL 25/5 @… https://t.co/7bw1bQtZdt",2021-06-13 15:12:48,0
38,VShanthaMurthy,@MajorPoonia Declare #hcltech as Delhi chief minister.,2021-06-13 11:55:13,0
39,TarunaGarg18,"#HCLTECH

4 hrs chart
Ready to super blast
Technical expectations to continue on bullish trend. Once break 1000 the… https://t.co/tfUJxKtl0C",2021-06-13 06:45:28,0
40,gabani_manoj,"Thank you so much #hcltech for providing the much needed oxygen cylinder to fight covid.

#क्रेडिट_चोर केजरीवाल एंड… https://t.co/SRJtBHT1jV",2021-06-13 03:43:15,0
41,BHASKARKHAKHKH1,Thank u @hcltech  ... Oxygen plants donated by #hcltech https://t.co/yHbnmeuDxq,2021-06-13 03:12:40,0
42,PITCHBOSS,@TajinderBagga @oxyjoxy @hcltech @AamAadmiParty Not mentioned the donar thats very bad @hcltech Thank you 🙏… https://t.co/my0iDYQlTP,2021-06-13 03:04:17,0
43,racsociall,#hcltech possibility 5 to 6 % upside.  #niftyit #Nifty,2021-06-12 18:56:37,0
44,JmcStock,"#Crudeoil hit the second resistance successfully 
Best performance by #Ultratech trend decider to final resistance… https://t.co/5vG6DqPsaZ",2021-06-12 18:25:29,0
45,in_tradingview,#HCLTECH - 12/06/2021 - TradingView - https://t.co/erKvDF4CNU,2021-06-12 16:20:04,0
46,DebSubha92,"#HCL , #hcltech ,
956 above small range BO . Cmp- 983 .
1055 may be visit.
#BullishTrend developing. https://t.co/clpZUTKt0f",2021-06-12 16:14:40,0
47,DebSubha92,"#Performing &amp; #Underperforming IT stock compare to #NiftyIT Index.
Good move Expected in following stock.
#TCS,… https://t.co/su7H0p938r",2021-06-12 15:46:38,0
48,uncommonprofit,"#CNXIT , #INFY new ATH closing. 
Expect #TCS, #HCLTECH, #LTI  to catch-up https://t.co/mSUjVwkXn6",2021-06-12 11:41:19,0
49,akshayrantss,#Hcltech SL 966 swing trade target 1050-1060. https://t.co/0vEfHkjbSt,2021-06-12 09:51:05,0
50,HCLFirstCareers,"Register today: https://t.co/YYOaRSsQMj

#HCLFirstCareers #HCLTech #HCLTechnologies
#Inspiration #Motivation… https://t.co/MToejjSXNi",2021-06-12 08:25:06,0
