Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,214.000000,215.449997,211.550003,212.449997,208.591660,4837278
2021-02-16,213.399994,229.899994,213.300003,225.550003,221.453751,45113050
2021-02-17,225.500000,231.199997,222.199997,230.050003,225.872025,21957171
2021-02-18,231.000000,238.300003,228.500000,236.500000,232.204880,24914207
2021-02-19,233.500000,236.100006,228.750000,232.199997,227.982971,20438826
2021-02-22,232.449997,233.899994,223.600006,224.949997,220.864639,14512980
2021-02-23,225.750000,229.100006,224.649994,226.100006,221.993759,10290130
2021-02-24,226.149994,228.199997,221.600006,222.750000,218.704605,6424498
2021-02-25,223.699997,232.800003,220.800003,227.550003,223.417419,17266549
2021-02-26,221.500000,227.250000,211.199997,214.300003,210.408066,21414774
2021-03-01,217.500000,228.800003,217.399994,227.250000,223.122879,17686096
2021-03-02,229.000000,229.350006,223.350006,225.050003,220.962830,10250883
2021-03-03,230.000000,230.149994,223.699997,227.500000,223.368332,10884683
2021-03-04,223.050003,229.949997,223.050003,225.149994,221.061005,12861986
2021-03-05,226.000000,226.000000,219.350006,220.250000,216.250000,9755263
2021-03-08,217.850006,223.899994,217.000000,220.149994,220.149994,8859067
2021-03-09,220.500000,222.100006,213.250000,216.000000,216.000000,7079067
2021-03-10,218.000000,218.949997,214.000000,215.149994,215.149994,5996907
2021-03-12,215.699997,220.899994,215.399994,220.050003,220.050003,10222359
2021-03-15,221.000000,226.500000,219.750000,224.149994,224.149994,16926890
2021-03-16,225.149994,227.199997,223.500000,224.449997,224.449997,8306833
2021-03-17,224.949997,225.000000,219.350006,220.449997,220.449997,7071264
2021-03-18,221.000000,223.500000,220.149994,221.050003,221.050003,8005871
2021-03-19,221.899994,232.100006,219.149994,230.199997,230.199997,39563112
2021-03-22,234.399994,234.399994,222.199997,223.550003,223.550003,16414250
2021-03-23,223.550003,224.000000,218.500000,219.000000,219.000000,21631451
2021-03-24,217.050003,223.899994,216.899994,221.050003,221.050003,13724418
2021-03-25,221.050003,223.399994,215.350006,216.399994,216.399994,11403073
2021-03-26,219.350006,222.000000,212.149994,214.600006,214.600006,14166489
2021-03-30,216.899994,223.699997,215.399994,221.350006,221.350006,29997430
2021-03-31,219.899994,221.100006,214.649994,215.649994,215.649994,11640412
2021-04-01,216.649994,219.350006,214.750000,218.699997,218.699997,6316508
2021-04-05,215.199997,219.000000,213.350006,214.149994,214.149994,8147763
2021-04-06,215.199997,219.000000,208.500000,209.199997,209.199997,14232228
2021-04-07,210.899994,216.199997,209.550003,210.550003,210.550003,12848471
2021-04-08,211.949997,213.500000,208.500000,209.000000,209.000000,11513749
2021-04-09,209.399994,211.449997,208.000000,208.300003,208.300003,6622326
2021-04-12,206.649994,206.649994,198.500000,201.149994,201.149994,10431180
2021-04-13,205.149994,209.399994,202.449997,208.750000,208.750000,11154981
2021-04-15,207.899994,211.399994,207.050003,207.800003,207.800003,5714635
2021-04-16,207.500000,214.800003,207.250000,209.850006,209.850006,12386729
2021-04-19,205.850006,207.000000,200.000000,201.199997,201.199997,10352810
2021-04-20,205.000000,205.699997,201.649994,203.699997,203.699997,8138061
2021-04-22,204.000000,204.899994,201.199997,203.449997,203.449997,6539885
2021-04-23,204.300003,212.899994,204.000000,211.149994,211.149994,21553903
2021-04-26,208.199997,216.449997,208.199997,215.800003,215.800003,10765892
2021-04-27,216.050003,220.500000,215.800003,216.649994,216.649994,8589721
2021-04-28,218.800003,221.699997,216.300003,220.899994,220.899994,9215766
2021-04-29,223.100006,223.649994,219.050003,220.149994,220.149994,8303610
2021-04-30,217.750000,222.300003,216.649994,220.050003,220.050003,9504624
2021-05-03,217.500000,222.850006,216.750000,220.800003,220.800003,8734538
2021-05-04,221.399994,221.699997,216.699997,218.050003,218.050003,11732310
2021-05-05,218.050003,220.350006,216.800003,218.199997,218.199997,13037762
2021-05-06,218.449997,219.399994,213.600006,215.399994,215.399994,10588285
2021-05-07,216.350006,216.800003,213.500000,214.550003,214.550003,7036647
2021-05-10,215.399994,220.149994,214.949997,219.850006,219.850006,10038140
2021-05-11,220.000000,225.199997,218.399994,223.399994,223.399994,12935130
2021-05-12,223.399994,235.000000,223.050003,225.949997,225.949997,31300529
2021-05-14,227.750000,230.000000,223.850006,228.850006,228.850006,10586699
