Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,3488.949951,3506.149902,3452.000000,3465.399902,3465.399902,809861
2021-02-16,3470.000000,3485.300049,3432.000000,3461.550049,3461.550049,759332
2021-02-17,3463.449951,3595.000000,3457.250000,3584.000000,3584.000000,1946207
2021-02-18,3579.649902,3629.050049,3506.000000,3522.850098,3522.850098,1701157
2021-02-19,3522.850098,3522.850098,3370.000000,3389.699951,3389.699951,995322
2021-02-22,3400.000000,3432.949951,3350.149902,3414.149902,3414.149902,921345
2021-02-23,3414.149902,3479.550049,3377.050049,3405.449951,3405.449951,1069537
2021-02-24,3440.000000,3500.000000,3351.100098,3441.600098,3441.600098,823330
2021-02-25,3450.000000,3460.000000,3402.250000,3434.399902,3434.399902,897962
2021-02-26,3405.000000,3423.649902,3199.800049,3224.000000,3224.000000,1880371
2021-03-01,3255.000000,3363.050049,3250.000000,3350.199951,3350.199951,1176879
2021-03-02,3352.000000,3490.000000,3351.500000,3476.399902,3476.399902,1402320
2021-03-03,3510.000000,3510.899902,3394.000000,3424.350098,3424.350098,965062
2021-03-04,3398.000000,3460.000000,3368.250000,3419.850098,3419.850098,934953
2021-03-05,3415.000000,3491.500000,3394.000000,3461.699951,3461.699951,1017875
2021-03-08,3461.649902,3489.500000,3422.699951,3463.949951,3463.949951,749107
2021-03-09,3465.050049,3490.000000,3416.500000,3448.850098,3448.850098,564852
2021-03-10,3449.000000,3475.000000,3407.850098,3419.350098,3419.350098,787897
2021-03-12,3355.000000,3419.000000,3310.000000,3350.550049,3350.550049,1098158
2021-03-15,3360.000000,3369.399902,3243.000000,3264.149902,3264.149902,781236
2021-03-16,3298.949951,3300.000000,3248.000000,3255.050049,3255.050049,523881
2021-03-17,3257.000000,3278.899902,3175.000000,3190.550049,3190.550049,991815
2021-03-18,3217.699951,3217.699951,3072.300049,3107.199951,3107.199951,1472097
2021-03-19,3085.000000,3132.050049,3036.000000,3119.149902,3119.149902,1554560
2021-03-22,3131.600098,3143.949951,3081.149902,3095.850098,3095.850098,619756
2021-03-23,3107.899902,3132.000000,3060.550049,3067.449951,3067.449951,944310
2021-03-24,3068.000000,3085.949951,3023.000000,3033.850098,3033.850098,975533
2021-03-25,3033.100098,3049.600098,2927.100098,2941.649902,2941.649902,1075251
2021-03-26,2972.000000,2982.800049,2931.000000,2937.800049,2937.800049,611318
2021-03-30,2934.949951,2976.350098,2916.600098,2963.850098,2963.850098,899455
2021-03-31,2955.600098,2962.000000,2902.000000,2913.600098,2913.600098,1212659
2021-04-01,2949.000000,3004.949951,2933.000000,2956.100098,2956.100098,1067722
2021-04-05,2961.000000,2972.949951,2866.600098,2886.899902,2886.899902,1152927
2021-04-06,2900.000000,2928.000000,2868.000000,2887.949951,2887.949951,788062
2021-04-07,2880.000000,2948.899902,2875.050049,2941.600098,2941.600098,649751
2021-04-08,2969.000000,2990.350098,2913.399902,2928.000000,2928.000000,953450
2021-04-09,2928.000000,2948.000000,2901.149902,2912.899902,2912.899902,557093
2021-04-12,2874.000000,2889.949951,2741.100098,2786.100098,2786.100098,859305
2021-04-13,2799.000000,2879.000000,2773.250000,2865.350098,2865.350098,714921
2021-04-15,2852.000000,2890.000000,2820.000000,2862.550049,2862.550049,683426
2021-04-16,2838.250000,2924.949951,2838.250000,2894.850098,2894.850098,709663
2021-04-19,2761.350098,2822.550049,2743.100098,2785.550049,2785.550049,740714
2021-04-20,2841.250000,2848.850098,2800.850098,2823.699951,2823.699951,740095
2021-04-22,2753.300049,2882.550049,2750.000000,2851.149902,2851.149902,1436707
2021-04-23,2818.000000,2873.800049,2812.050049,2864.050049,2864.050049,682515
2021-04-26,2860.050049,2878.399902,2830.000000,2864.550049,2864.550049,831133
2021-04-27,2875.000000,2939.000000,2870.250000,2905.500000,2905.500000,811184
2021-04-28,2928.000000,3009.000000,2915.050049,2926.250000,2926.250000,1389833
2021-04-29,2963.800049,2963.800049,2850.050049,2860.100098,2860.100098,1009327
2021-04-30,2834.800049,2860.000000,2805.000000,2819.149902,2819.149902,670258
2021-05-03,2779.949951,2848.000000,2766.649902,2793.250000,2793.250000,668727
2021-05-04,2794.000000,2819.750000,2766.750000,2776.750000,2776.750000,642256
2021-05-05,2786.899902,2800.000000,2768.000000,2788.199951,2788.199951,365152
2021-05-06,2818.000000,2922.000000,2802.149902,2913.300049,2913.300049,2249529
2021-05-07,2948.949951,2995.000000,2820.000000,2860.800049,2860.800049,2287493
2021-05-10,2860.800049,2879.000000,2830.000000,2836.300049,2836.300049,781259
2021-05-11,2830.500000,2843.649902,2801.100098,2838.350098,2838.350098,684120
2021-05-12,2839.800049,2858.000000,2815.000000,2840.149902,2840.149902,486996
2021-05-14,2840.149902,2851.899902,2802.750000,2812.350098,2812.350098,518143
